trade_date,open,high,low,close,volume,RSI_14,MACD_DIF,MACD_DEA,MACD_HIST,BB_UP,BB_MID,BB_LOW,BB_BW,BB_PCTB,ATR_14
20250704,259.98,264.86,256.03,260.76,272060.13,,0.0,0.0,0.0,,,,,,
20250707,260.76,263.78,253.97,255.94,174664.98,,-0.3845,-0.0769,-0.6152,,,,,,
20250708,255.75,260.85,254.89,258.31,155922.92,,-0.4923,-0.16,-0.6647,,,,,,
20250709,257.22,269.25,257.13,265.66,293883.71,,0.0152,-0.125,0.2802,,,,,,
20250710,269.77,269.77,263.4,266.84,242393.49,,0.5067,0.0014,1.0107,,,,,,
20250711,266.35,268.8,264.97,266.35,213281.53,,0.847,0.1705,1.3529,,,,,,
20250714,265.86,266.17,261.05,263.4,149788.84,,0.8686,0.3101,1.1169,,,,,,
20250715,263.4,267.33,260.95,262.67,169526.49,,0.8174,0.4116,0.8116,,,,,,
20250716,263.4,263.6,258.05,259.38,156264.79,,0.5055,0.4303,0.1503,,,,,,
20250717,260.33,262.67,259.34,260.46,145110.17,,0.3415,0.4126,-0.1421,,,,,,
20250718,263.6,267.28,260.76,266.05,221865.58,,0.6551,0.4611,0.388,,,,,,
20250721,271.74,276.65,268.36,274.35,324862.75,,1.5554,0.6799,1.7509,,,,,,
20250722,274.69,284.5,273.88,281.22,333090.29,,2.7911,1.1022,3.3778,,,,,,
20250723,282.69,285.23,281.15,281.57,200189.74,,3.7553,1.6328,4.2451,,,,,,7.6499
20250724,283.52,283.71,277.54,279.79,223891.14,41.41,4.326,2.1715,4.3091,,,,,,7.5442
20250725,279.79,279.79,276.4,277.43,134326.01,39.57,4.5356,2.6443,3.7826,,,,,,7.2474
20250728,277.65,283.6,275.96,280.87,238973.36,43.51,4.9225,3.0999,3.6451,,,,,,7.2755
20250729,281.26,286.46,281.24,286.28,233945.55,49.14,5.6011,3.6001,4.0018,,,,,,7.1551
20250730,286.65,286.65,271.11,271.83,415943.01,38.2,4.9162,3.8634,2.1057,,,,,,7.754
20250731,275.47,276.63,259.6,259.6,447103.55,31.75,3.348,3.7603,-0.8246,287.75,268.94,250.13,13.9875,25.1766,8.4166
20250801,259.77,261.54,257.76,258.08,252500.02,31.05,1.9599,3.4002,-2.8806,287.89,268.8,249.71,14.2038,21.9124,8.0854
20250804,258.01,262.91,256.73,261.42,237681.68,34.47,1.1165,2.9435,-3.6539,287.54,269.08,250.62,13.7207,29.2575,7.9493
20250805,262.42,263.89,258.5,260.66,219760.4,34.06,0.3824,2.4312,-4.0978,287.39,269.2,251.0,13.5212,26.5498,7.7665
20250806,260.19,261.83,258.23,259.97,153233.11,33.66,-0.2522,1.8946,-4.2936,287.52,268.91,250.31,13.8375,25.9719,7.4689
20250807,259.97,261.43,257.22,258.06,165481.04,32.54,-0.8989,1.3359,-4.4695,287.69,268.47,249.26,14.3146,22.9071,7.2361
20250808,258.99,261.11,257.04,258.48,174282.16,33.07,-1.3618,0.7963,-4.3163,287.79,268.08,248.36,14.7078,25.6559,7.0099
20250811,258.48,261.1,257.52,258.66,213308.76,33.31,-1.6946,0.2981,-3.9855,287.9,267.84,247.78,14.9804,27.1171,6.765
20250812,258.5,260.15,252.83,258.25,222407.39,33.02,-1.9687,-0.1552,-3.627,288.02,267.62,247.22,15.2428,27.029,6.8046
20250813,259.74,269.78,259.49,268.41,394667.69,45.75,-1.3506,-0.3943,-1.9126,288.1,268.07,248.05,14.9398,50.844,7.1421
20250814,271.63,276.65,269.27,274.58,371707.57,51.75,-0.3587,-0.3872,0.057,288.67,268.78,248.89,14.8003,64.5853,7.2205
20250815,273.1,276.94,270.86,275.34,241091.69,52.45,0.4831,-0.2131,1.3925,289.3,269.24,249.19,14.8973,65.202,7.1391
20250818,275.34,280.06,272.74,277.63,285287.93,54.58,1.3199,0.0935,2.4528,289.69,269.41,249.12,15.0576,70.2718,7.152
20250819,278.63,279.62,271.96,273.51,244285.85,50.22,1.6317,0.4011,2.4612,288.64,269.02,249.4,14.5862,61.4399,7.1883
20250820,273.22,275.67,267.85,274.89,233534.92,51.61,1.9675,0.7144,2.5063,287.62,268.69,249.75,14.0952,66.3789,7.2334
20250821,274.96,277.45,273.71,274.69,182698.14,51.39,2.1923,1.01,2.3646,286.87,268.43,249.99,13.737,66.9711,6.9839
20250822,274.62,284.88,274.3,282.75,264218.51,59.11,2.9863,1.4052,3.1621,287.82,268.7,249.57,14.235,86.7382,7.2407
20250825,285.52,289.34,282.35,285.8,312297.2,61.6,3.8177,1.8877,3.8599,288.84,268.94,249.05,14.7961,92.3577,7.2228
20250826,282.59,286.5,281.17,285.03,230244.62,60.6,4.3642,2.383,3.9623,288.56,268.88,249.21,14.6339,91.0391,7.0876
20250827,284.54,285.07,273.89,274.0,382584.29,48.44,3.8627,2.6789,2.3674,288.76,268.99,249.22,14.6965,62.672,7.3799
20250828,271.8,274.68,268.51,273.13,304664.01,47.63,3.3563,2.8144,1.0838,289.0,269.67,250.33,14.3394,58.9556,7.2935
20250829,274.01,311.77,273.66,301.45,780138.92,67.01,5.1805,3.2876,3.7858,295.04,271.84,248.63,17.0719,113.814,9.5326
20250901,301.77,302.16,294.68,299.31,429964.21,65.05,6.38,3.9061,4.9478,299.41,273.73,248.05,18.7618,99.8084,9.3859
20250902,299.34,306.3,294.41,298.19,371168.89,63.99,7.1577,4.5564,5.2025,302.71,275.61,248.5,19.6675,91.6631,9.5648
20250903,298.81,306.84,298.35,304.23,508974.73,67.09,8.1673,5.2786,5.7773,306.71,277.82,248.92,20.8015,95.7004,9.4995
20250904,308.63,318.34,295.99,299.34,657547.54,62.41,8.4751,5.9179,5.1144,308.73,279.88,251.03,20.6155,83.7205,10.4174
20250905,295.27,320.09,295.19,320.09,708197.79,71.5,10.2749,6.7893,6.9712,315.15,282.96,250.77,22.7524,107.6659,11.4518
20250908,328.84,332.44,318.51,320.35,588345.78,71.59,11.5887,7.7492,7.6791,320.2,286.05,251.9,23.8756,100.225,11.6288
20250909,317.82,329.41,312.26,315.06,434023.97,66.83,12.064,8.6121,6.9037,322.75,288.89,255.03,23.4427,88.644,12.0232
20250910,313.08,317.03,308.17,311.16,367526.83,63.48,11.9877,9.2873,5.401,324.84,291.03,257.21,23.2389,79.7695,11.7973
20250911,310.68,317.99,304.27,317.57,380344.6,66.46,12.3027,9.8904,4.8248,328.04,293.18,258.31,23.783,84.9855,11.9346
20250912,320.87,324.81,317.23,319.98,338713.16,67.53,12.6016,10.4326,4.3379,331.17,295.41,259.65,24.2102,84.3574,11.6236
20250915,340.67,365.78,338.71,349.22,718410.23,77.09,15.0246,11.351,7.3473,341.03,298.99,256.94,28.1257,109.735,14.0647
